RefDes;Name;Pattern;Side;Value;Total;
C1, C2;CAP_0805;CAP_0805;Top;2.2mkf;2;
C3;CAP_0805;CAP_0805;Top;10mkf;1;
C4, C5, C6, C7, C8, C9, C10;CAP_0402_L;CAP_0402_L;Top;100n;7;
D1, D2;SMLVT3V3;SMB;Top;3.3V;2;
F1, F2;SF-0603HIA100M-2;RES_0603_L;Top;1A;2;
J1, J2, J3, J4, J5, J6, J8, J9, J10, J11, J12, J13, J14, J16;MCX-5.08/H5;MCX-5.08/H5;Top;RF Con;14;
J7, J15;B2B-PH-K-S;HDR-1x2T/2/Sh6x5;Top;2 pin Con;2;
U2, U8;TSSOP-16;TSSOP-16;Top;NB3V1108CDTR2G;2;
U4, U9;MC74HC390ADTR2;TSSOP-16;Top;MC74HC390ADTR2;2;
U5;MC74HC390ADTR2;TSSOP-16;Top;MC74HC390ADTR3;1;
U6;MC74HC390ADTR2;TSSOP-16;Top;MC74HC390ADTR4;1;
U7;MC74HC390ADTR2;TSSOP-16;Top;MC74HC390ADTR5;1;
